CUSTOMER ID,FIRST_NAME,LAST_NAME,REGISTRATION DATE
2125557818,Kwai,Yu,2003-02-24 00:00:00.000
NULL,Paul,Henriot,2003-05-07 00:00:00.000
NULL,Daniel,Da Cunha,2003-07-01 00:00:00.000
6265557265,Julie,Young,2003-08-25 00:00:00.000
6505551386,Julie,Brown,2003-10-10 00:00:00.000
6505556809,Juri,Hirano,2003-10-28 00:00:00.000
NULL,Martine,Rance,2003-11-11 00:00:00.000
NULL,Veysel,Oeztan,2003-11-18 00:00:00.000
6505555787,Julie,Murphy,2003-12-01 00:00:00.000
NULL,Dominique,Perrier,2004-01-15 00:00:00.000
NULL,Peter,Ferguson,2004-02-20 00:00:00.000
2125551500,Michael,Frick,2004-04-05 00:00:00.000
2015559350,William,Brown,2004-05-18 00:00:00.000
2035552570,Julie,King,2004-06-28 00:00:00.000
NULL,Janine,Labrune,2004-07-23 00:00:00.000
6175558555,Marta,Hernandez,2004-08-27 00:00:00.000
NULL,Matti,Karttunen,2004-09-30 00:00:00.000
NULL,Jonas,Bergulfsen,2004-10-15 00:00:00.000
2155551555,Kyung,Yu,2004-11-02 00:00:00.000
2125557818,Kwai,Yu,2004-11-15 00:00:00.000
NULL,Georg,Pipps,2004-11-24 00:00:00.000
NULL,Adrian,Huxley,2004-12-17 00:00:00.000
NULL,Janine,Labrune,2005-02-03 00:00:00.000
5085552555,Violeta,Benitez,2005-03-03 00:00:00.000
NULL,Elizabeth,Devon,2005-04-08 00:00:00.000
NULL,Diego,Freyre,2005-05-13 00:00:00.000
NULL,Jonas,Bergulfsen,2003-01-29 00:00:00.000
NULL,Christina,Berglund,2003-03-24 00:00:00.000
NULL,Mart¡n,Sommer,2003-05-28 00:00:00.000
6505556809,Juri,Hirano,2003-07-24 00:00:00.000
NULL,Eric,Natividad,2003-09-19 00:00:00.000
2125558493,Maria,Hernandez,2003-10-20 00:00:00.000
NULL,Tony,Calaghan,2003-11-06 00:00:00.000
2155554695,Francisca,Cervantes,2003-11-13 00:00:00.000
NULL,Mary,Saveley,2003-11-25 00:00:00.000
NULL,Yoshi,Tannamuri,2003-12-05 00:00:00.000
3105553722,Steve,Thompson,2004-01-29 00:00:00.000
6175555555,Kyung,Tseng,2004-03-10 00:00:00.000
2035559545,Leslie,Murphy,2004-05-04 00:00:00.000
NULL,Akiko,Shimamura,2004-06-15 00:00:00.000
NULL,Adrian,Huxley,2004-07-19 00:00:00.000
NULL,Paolo,Accorti,2004-08-17 00:00:00.000
NULL,Maria,Larsson,2004-09-08 00:00:00.000
NULL,Daniel,Tonini,2004-10-11 00:00:00.000
4155551450,Valarie,Nelson,2004-10-21 00:00:00.000
6035558647,Valarie,Young,2004-11-04 00:00:00.000
6505555787,Julie,Murphy,2004-11-18 00:00:00.000
NULL,Peter,Ferguson,2004-11-29 00:00:00.000
4155551450,Valarie,Nelson,2004-12-10 00:00:00.000
6175558555,Allen,Nelson,2005-01-20 00:00:00.000
6505551386,Julie,Brown,2005-02-17 00:00:00.000
NULL,Anna,O'Hara,2005-03-09 00:00:00.000
NULL,Jean,Fresnisre,2005-05-01 00:00:00.000
NULL,Diego,Freyre,2005-05-31 00:00:00.000
2125557818,Kwai,Yu,2003-02-24 00:00:00.000
NULL,Peter,Ferguson,2003-04-29 00:00:00.000
NULL,Daniel,Da Cunha,2003-07-01 00:00:00.000
6265557265,Julie,Young,2003-08-25 00:00:00.000
6505551386,Julie,Brown,2003-10-10 00:00:00.000
6505556809,Juri,Hirano,2003-10-28 00:00:00.000
NULL,Martine,Rance,2003-11-11 00:00:00.000
NULL,Veysel,Oeztan,2003-11-18 00:00:00.000
6505555787,Julie,Murphy,2003-12-01 00:00:00.000
NULL,Mory,Kentary,2004-01-12 00:00:00.000
NULL,Peter,Ferguson,2004-02-20 00:00:00.000
2155559857,Rosa,Hernandez,2004-04-03 00:00:00.000
2015559350,William,Brown,2004-05-18 00:00:00.000
2035552570,Julie,King,2004-06-28 00:00:00.000
NULL,Janine,Labrune,2004-07-23 00:00:00.000
6175558555,Marta,Hernandez,2004-08-27 00:00:00.000
NULL,Carine,Schmitt,2004-09-27 00:00:00.000
9145554562,Steve,Frick,2004-10-15 00:00:00.000
2155551555,Kyung,Yu,2004-11-02 00:00:00.000
